ticker,BinFR,BinFT,HlFR,HlFT,BybitFR,BybitFT,OkxFR,OkxFT,nextFT
AAVE,0.00000214,1742313600000.0,0.0000125,1742299200000,0.00000829,1742313600000.0,-0.0000013303849762,1742313600000.0,1742299200000.0
ACE,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,0.0001283241385093,1742313600000.0,1742299200000.0
ADA,-0.00006558,1742313600000.0,0.0000125,1742299200000,-0.00002817,1742313600000.0,-0.0000676386598648,1742313600000.0,1742299200000.0
AI,-0.00005384,1742313600000.0,-0.0000101863,1742299200000,0.00005,1742313600000.0,,,1742299200000.0
AI16Z,-0.00003194,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,-0.0001068057070248,1742313600000.0,1742299200000.0
AIXBT,-0.0003244,1742313600000.0,-0.0000191273,1742299200000,-0.00031835,1742313600000.0,-0.0006632463324103,1742313600000.0,1742299200000.0
ALGO,0.0001,1742313600000.0,0.0000125,1742299200000,0.00000316,1742313600000.0,0.0001036534554731,1742313600000.0,1742299200000.0
ALT,-0.00001273,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,,,1742299200000.0
ANIME,0.00005,1742313600000.0,0.0000125,1742299200000,-0.00012194,1742306400000.0,-0.0002764454577837,1742313600000.0,1742299200000.0
APE,-0.00015295,1742313600000.0,-0.0000024097,1742299200000,0.0001,1742313600000.0,-0.0001649897158825,1742313600000.0,1742299200000.0
APT,0.00008646,1742313600000.0,0.0000125,1742299200000,0.0000174,1742313600000.0,-0.0000441295410021,1742313600000.0,1742299200000.0
AR,0.0001,1742313600000.0,0.0000125,1742299200000,0.0001,1742313600000.0,-0.0000511618021747,1742313600000.0,1742299200000.0
ARB,0.00005095,1742313600000.0,0.0000125,1742299200000,0.00003578,1742313600000.0,0.0000647648579447,1742313600000.0,1742299200000.0
ATOM,-0.00017205,1742313600000.0,-0.0000720379,1742299200000,-0.0000081,1742313600000.0,-0.0001777727708185,1742313600000.0,1742299200000.0
AVAX,0.00004648,1742313600000.0,-0.000137482,1742299200000,0.00005511,1742313600000.0,0.0000618875051696,1742313600000.0,1742299200000.0
AXL,-0.00007365,1742313600000.0,0.0,1742299200000,0.00005,1742313600000.0,,,1742299200000.0
BADGER,0.00005,1742313600000.0,0.0000125,1742299200000,0.00004122,1742313600000.0,0.0000503111899333,1742313600000.0,1742299200000.0
BANANA,-0.00053759,1742313600000.0,-0.0000552394,1742299200000,-0.00072336,1742313600000.0,,,1742299200000.0
BERA,-0.00017108,1742313600000.0,0.0000125,1742299200000,0.000025,1742306400000.0,-0.0001547605509291,1742313600000.0,1742299200000.0
BIGTIME,-0.00004424,1742313600000.0,0.0000125,1742299200000,-0.00017156,1742313600000.0,0.0001553181789584,1742313600000.0,1742299200000.0
BIO,0.00005,1742313600000.0,0.0000125,1742299200000,0.0001,1742313600000.0,-0.0002673725751924,1742313600000.0,1742299200000.0
BLAST,,,-0.0002079471,1742299200000,-0.00081488,1742313600000.0,,,1742299200000.0
BLUR,0.00008979,1742313600000.0,0.0000125,1742299200000,0.00002787,1742313600000.0,-0.0001552881752673,1742313600000.0,1742299200000.0
BLZ,0.00005,1742313600000.0,0.0,1742299200000,,,,,1742299200000.0
BNB,0.0,1742313600000.0,0.0003739905,1742299200000,-0.00016395,1742313600000.0,-0.0000924621953489,1742313600000.0,1742299200000.0
BRETT,-0.00010103,1742313600000.0,-0.0000234107,1742299200000,-0.00007188,1742313600000.0,-0.0005275551396654,1742313600000.0,1742299200000.0
BSV,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,0.0000031992751986,1742313600000.0,1742299200000.0
BTC,0.00003672,1742313600000.0,0.0000732919,1742299200000,0.00008025,1742313600000.0,0.0000174772035258,1742313600000.0,1742299200000.0
CAKE,0.00005,1742313600000.0,0.0000125,1742299200000,-0.00028037,1742313600000.0,,,1742299200000.0
CANTO,,,0.0,1742299200000,,,,,1742299200000.0
CATI,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,0.0001982039003472,1742313600000.0,1742299200000.0
CELO,0.00005901,1742313600000.0,-0.0000031184,1742299200000,-0.00000135,1742313600000.0,-0.0000653495792367,1742313600000.0,1742299200000.0
CHILLGUY,0.00005,1742313600000.0,0.0000125,1742299200000,-0.00014999,1742313600000.0,,,1742299200000.0
CHZ,0.00002934,1742313600000.0,0.0,1742299200000,-0.00008466,1742313600000.0,-0.0000144606222978,1742313600000.0,1742299200000.0
COMP,-0.00006855,1742313600000.0,0.0000125,1742299200000,-0.00000152,1742313600000.0,-0.0001097383456151,1742313600000.0,1742299200000.0
DYDX,0.00004244,1742313600000.0,0.0000125,1742299200000,-0.00008692,1742313600000.0,-0.0000631290258019,1742313600000.0,1742299200000.0
DYM,-0.01528197,1742313600000.0,-0.0019482161,1742299200000,-0.01386188,1742313600000.0,,,1742299200000.0
EIGEN,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,0.0001549479342068,1742313600000.0,1742299200000.0
ENS,-0.00000455,1742313600000.0,0.0000125,1742299200000,0.0001,1742313600000.0,0.0000145315738536,1742313600000.0,1742299200000.0
ETC,-0.00004538,1742313600000.0,-0.0000005151,1742299200000,0.00008326,1742313600000.0,0.0001612642083603,1742313600000.0,1742299200000.0
ETH,0.00003174,1742313600000.0,0.000349113,1742299200000,-0.00004896,1742313600000.0,0.0000068297770385,1742313600000.0,1742299200000.0
FARTCOIN,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,0.0001718587232870,1742313600000.0,1742299200000.0
FET,-0.00002448,1742313600000.0,0.0000046839,1742299200000,,,,,1742299200000.0
FIL,-0.00002347,1742313600000.0,0.0000125,1742299200000,-0.00008006,1742313600000.0,0.0000386208901382,1742313600000.0,1742299200000.0
FRIEND,,,0.0,1742299200000,,,,,1742299200000.0
FTM,0.0001,1742313600000.0,0.0,1742299200000,,,,,1742299200000.0
FTT,0.0001,1742313600000.0,0.0000125,1742299200000,,,,,1742299200000.0
FXS,0.0001,1742313600000.0,0.0000125,1742299200000,0.00003627,1742313600000.0,-0.0000080452227974,1742313600000.0,1742299200000.0
GALA,0.00005825,1742313600000.0,0.0000125,1742299200000,0.00009564,1742313600000.0,0.0000088166783065,1742313600000.0,1742299200000.0
GAS,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,-0.0000641871143453,1742313600000.0,1742299200000.0
GMT,0.0001,1742313600000.0,0.0000125,1742299200000,0.00006534,1742313600000.0,0.0000179562671058,1742313600000.0,1742299200000.0
GOAT,0.00005,1742313600000.0,0.0000125,1742299200000,-0.00013501,1742313600000.0,-0.0001632741326428,1742313600000.0,1742299200000.0
GRASS,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,-0.0000349991817778,1742313600000.0,1742299200000.0
GRIFFAIN,-0.00013052,1742313600000.0,0.0000125,1742299200000,-0.00001326,1742313600000.0,-0.0003332547357507,1742313600000.0,1742299200000.0
HBAR,0.00001367,1742313600000.0,0.0000125,1742299200000,0.0001,1742313600000.0,-0.0001080974779104,1742313600000.0,1742299200000.0
HMSTR,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,0.0000250227807629,1742313600000.0,1742299200000.0
HPOS,,,0.0000125,1742299200000,,,,,1742299200000.0
HYPE,,,0.0000125,1742299200000,,,-0.0000679220439566,1742313600000.0,1742299200000.0
ICP,0.00004421,1742313600000.0,0.0000125,1742299200000,0.0001,1742313600000.0,-0.0001043521416369,1742313600000.0,1742299200000.0
ILV,-0.00016699,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,,,1742299200000.0
IMX,0.00004191,1742313600000.0,0.0000125,1742299200000,0.0000081,1742313600000.0,-0.0000588511649317,1742313600000.0,1742299200000.0
INJ,0.0001,1742313600000.0,0.0000125,1742299200000,0.0001,1742313600000.0,0.0000253648558391,1742313600000.0,1742299200000.0
IO,-0.00025662,1742313600000.0,-0.0000326964,1742299200000,-0.00024815,1742313600000.0,,,1742299200000.0
IOTA,0.0001,1742313600000.0,0.0000125,1742299200000,0.0000732,1742313600000.0,-0.0000043751546813,1742313600000.0,1742299200000.0
IP,-0.00020442,1742313600000.0,0.0000125,1742299200000,-0.0000596,1742306400000.0,-0.0000677497845563,1742313600000.0,1742299200000.0
JELLY,,,0.0000125,1742299200000,0.00005,1742313600000.0,,,1742299200000.0
JELLYJELLY,,,0.0,1742299200000,,,,,1742299200000.0
JOE,-0.00001689,1742313600000.0,0.0000125,1742299200000,0.0001,1742313600000.0,-0.0001890760693404,1742313600000.0,1742299200000.0
JTO,-0.00012008,1742313600000.0,-0.0000163887,1742299200000,0.00005,1742313600000.0,0.0000078086330233,1742313600000.0,1742299200000.0
JUP,-0.00004277,1742313600000.0,0.0000125,1742299200000,-0.00004251,1742313600000.0,-0.0000627358303539,1742313600000.0,1742299200000.0
KAITO,0.00005,1742313600000.0,0.0000125,1742299200000,0.0000125,1742302800000.0,-0.0000286577194305,1742306400000.0,1742299200000.0
KAS,-0.0000132,1742313600000.0,0.0000046245,1742299200000,0.00005,1742313600000.0,,,1742299200000.0
LAYER,-0.00000205,1742313600000.0,0.0000125,1742299200000,,,-0.0000277735657695,1742306400000.0,1742299200000.0
LDO,0.00007463,1742313600000.0,0.0000033714,1742299200000,0.00004834,1742313600000.0,0.0000570160965112,1742313600000.0,1742299200000.0
LISTA,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,,,1742299200000.0
MANTA,-0.00012021,1742313600000.0,0.0000125,1742299200000,-0.00021089,1742313600000.0,,,1742299200000.0
MATIC,0.0001,1742313600000.0,0.0,1742299200000,,,,,1742299200000.0
MAV,-0.00050308,1742313600000.0,0.0000125,1742299200000,0.0001,1742313600000.0,,,1742299200000.0
MAVIA,,,-0.0007326121,1742299200000,-0.00359228,1742313600000.0,,,1742299200000.0
ME,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,-0.0000565695601767,1742313600000.0,1742299200000.0
MELANIA,-0.00041279,1742313600000.0,0.0000091557,1742299200000,-0.00002579,1742313600000.0,,,1742299200000.0
MEME,0.00002113,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,0.0000499850521008,1742313600000.0,1742299200000.0
MERL,,,-0.0000416359,1742299200000,-0.00029296,1742313600000.0,-0.0003018308914718,1742313600000.0,1742299200000.0
MEW,0.00005,1742313600000.0,0.0000125,1742299200000,0.00001703,1742313600000.0,0.0000337531113540,1742313600000.0,1742299200000.0
MINA,0.00006086,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,-0.0000567694276422,1742313600000.0,1742299200000.0
MKR,0.00000877,1742313600000.0,0.0000125,1742299200000,0.00004143,1742313600000.0,-0.0000237117815563,1742313600000.0,1742299200000.0
MOODENG,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,-0.0000445419329414,1742313600000.0,1742299200000.0
MORPHO,0.00005,1742313600000.0,0.0000125,1742299200000,-0.00031291,1742313600000.0,-0.0000886638668664,1742313600000.0,1742299200000.0
MOVE,-0.000582,1742313600000.0,-0.0000382559,1742299200000,-0.00059728,1742313600000.0,-0.0011636776801134,1742313600000.0,1742299200000.0
NEAR,-0.0000086,1742313600000.0,-0.0001906831,1742299200000,0.0000906,1742313600000.0,-0.0000661085429155,1742313600000.0,1742299200000.0
NEIROETH,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,-0.0000443994304414,1742313600000.0,1742299200000.0
NEO,0.0001,1742313600000.0,0.0000125,1742299200000,0.0001,1742313600000.0,0.0000614190337525,1742313600000.0,1742299200000.0
NFTI,,,0.0,1742299200000,,,,,1742299200000.0
NOT,0.00005,1742313600000.0,0.0000125,1742299200000,0.00003635,1742313600000.0,-0.0001393321434657,1742313600000.0,1742299200000.0
NTRN,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,,,1742299200000.0
OM,-0.00096604,1742313600000.0,-0.0000460795,1742299200000,0.00005,1742313600000.0,-0.0006810921920239,1742313600000.0,1742299200000.0
OMNI,0.00002929,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,,,1742299200000.0
ONDO,0.00005,1742313600000.0,0.0000125,1742299200000,-0.00011969,1742313600000.0,-0.0000226828368725,1742313600000.0,1742299200000.0
OP,0.00004512,1742313600000.0,-0.0000086822,1742299200000,0.00004195,1742313600000.0,-0.0000038554039679,1742313600000.0,1742299200000.0
ORDI,-0.00011958,1742313600000.0,0.0000092489,1742299200000,-0.00040909,1742313600000.0,-0.0000918031252120,1742313600000.0,1742299200000.0
OX,,,0.0,1742299200000,,,,,1742299200000.0
PANDORA,,,0.0,1742299200000,,,,,1742299200000.0
PENDLE,-0.00009792,1742313600000.0,-0.0000004795,1742299200000,-0.00002401,1742313600000.0,,,1742299200000.0
PENGU,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,-0.0000926277664467,1742313600000.0,1742299200000.0
PEOPLE,0.0001,1742313600000.0,0.0000125,1742299200000,0.0001,1742313600000.0,-0.0000978331545540,1742313600000.0,1742299200000.0
PIXEL,0.00005,1742313600000.0,0.0000125,1742299200000,0.00005,1742313600000.0,,,1742299200000.0
