index,name,maxLeverage,szDecimals
0,SOL,3,2
1,APT,10,2
2,ATOM,50,2
3,BTC,50,5
4,ETH,50,4
5,MATIC,50,1
6,BNB,50,3
7,AVAX,50,2
8,GMT,2,0
9,DYDX,50,1
10,APE,50,1
11,OP,50,1
12,kPEPE,3,0
13,ARB,50,1
14,RLB,50,0
15,WLD,10,1
16,HPOS,50,0
17,UNIBOT,2,2
18,COMP,5,2
19,FXS,20,1
20,MKR,20,4
21,AAVE,20,2
22,SNX,20,1
23,RNDR,20,1
24,LDO,20,1
25,SUI,20,1
26,INJ,20,1
27,STX,20,1
28,FTM,3,0
29,kSHIB,20,0
30,OX,3,0
31,FRIEND,3,1
32,ZRO,3,1
33,BLZ,5,0
34,BANANA,3,1
35,FTT,3,1
36,TRB,5,2
37,CANTO,3,0
38,BIGTIME,3,0
39,NTRN,5,0
40,KAS,5,0
41,BLUR,10,0
42,TIA,20,1
43,BSV,10,2
44,TON,10,1
45,ADA,3,0
46,MINA,10,0
47,POLYX,10,0
48,GAS,10,1
49,AXL,3,0
50,PENDLE,10,0
51,STG,10,0
52,FET,10,0
53,STRAX,10,0
54,NEAR,20,1
55,MEME,10,0
56,ORDI,10,2
57,BADGER,10,1
58,NEO,20,2
59,ZEN,10,2
60,FIL,10,1
61,PYTH,3,0
62,RUNE,10,1
63,SUSHI,10,1
64,ILV,10,2
65,MAV,5,0
66,IMX,10,1
67,kBONK,5,0
68,NFTI,3,1
69,SUPER,10,0
70,USTC,10,0
71,JUP,3,0
72,JOE,10,0
73,GALA,10,0
74,RSR,5,0
75,kLUNC,10,0
76,JTO,10,0
77,ACE,10,2
78,WIF,5,0
79,CAKE,10,1
80,PEOPLE,10,0
81,ENS,10,2
82,ETC,10,2
83,XAI,10,1
84,MANTA,10,1
85,UMA,10,1
86,REQ,10,0
87,ONDO,10,0
88,ALT,10,0
89,ZETA,10,1
90,DYM,10,1
91,MAVIA,5,1
92,W,3,0
93,PANDORA,3,5
94,AI,10,1
95,TAO,5,3
96,PIXEL,5,0
97,AR,10,2
98,TNSR,5,1
99,SAGA,5,1
100,MERL,5,0
101,HBAR,5,0
102,POPCAT,5,0
103,OMNI,5,2
104,EIGEN,5,2
105,REZ,5,0
106,NOT,5,0
107,TURBO,5,0
108,IO,5,1
109,BRETT,5,0
110,ZK,3,0
111,BLAST,3,0
112,LISTA,5,0
113,MEW,5,0
114,RENDER,5,0
115,kDOGS,5,0
116,POL,10,0
117,CATI,5,0
118,CELO,5,0
119,HMSTR,5,0
120,SCR,3,1
121,NEIROETH,5,0
122,kNEIRO,5,1
123,GOAT,5,0
124,MOODENG,5,0
125,PURR,3,0
126,GRASS,3,1
127,PNUT,5,1
128,XLM,5,0
129,CHILLGUY,3,0
130,SAND,5,0
131,ALGO,5,0
132,ICP,5,2
133,IOTA,5,0
134,VET,5,0
135,HYPE,3,2
136,ME,3,1
137,MOVE,5,0
138,VIRTUAL,5,1
139,PENGU,5,0
140,USUAL,5,0
141,FARTCOIN,3,1
142,AIXBT,5,0
143,AI16Z,5,1
144,ZEREBRO,5,0
145,BIO,5,0
146,SPX,5,1
147,GRIFFAIN,5,0
148,S,5,0
149,MORPHO,5,1
150,TRUMP,10,1
151,ANIME,3,0
152,MELANIA,3,1
153,VINE,3,0
154,VVV,3,2
155,JELLYJELLY,3,0
156,JELLY,3,0
157,BERA,5,1
158,TST,3,0
159,LAYER,3,0
160,IP,3,1
161,OM,5,1
162,KAITO,5,0
